Im Filialzielbestand bis spätestens;Quelle;Product Type;Product Mandator Country Id;Product Id; Einkaufspreis (teilweise Lagerwert) ;Stück pro Filiale;Bemerkungen;Einkaufswert;;Verfügbarkeit;Anpassung der Anzahl;;;Legende:
;;3D Drucker;Ender 3 V3 SE;37632240; CHF 152.66 ;1;; CHF 152.66 ;AJ;;;;;
;;3D Drucker;K1 Max;25442478; CHF 628.16 ;1;; CHF 628.16 ;AJ;;;;;
24.05.2024;;3D Filament;"Filament (PLA; 1.75 mm; 1000 g)";10124726; CHF 16.93 ;1;; CHF 16.93 ;AJ;;;;;
;;3D Filament;"PolyTerra (PLA; 1.75 mm; 1000 g; Schwarz)";15969860; CHF 14.48 ;1;; CHF 14.48 ;AJ;;;;;
;;3D Filament;"PolyTerra (PLA; 1.75 mm; 1000 g; Weiss)";15969850; CHF 13.55 ;1;; CHF 13.55 ;AJ;;;;;
;;3D Filament;"PolyTerra (PLA; 1.75 mm; 1000 g; Grau)";15969857; CHF 13.34 ;1;; CHF 13.34 ;AJ;;;;;
;;3D Filament;"Filament CR-PLA Schwarz; 1.75 mm; 1 kg (PLA; 1.75 mm; 1000 g; Schwarz)";21479060; CHF 11.11 ;1;; CHF 11.11 ;AJ;;;;;
24.05.2024;;Access Point;UniFi 6 LR;14514551; CHF 154.19 ;1;; CHF 154.19 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Access Point;UniFi AP AC-PRO;5620972; CHF 106.33 ;1;; CHF 106.33 ;AJ;;;;;
24.05.2024;;Access Point;"U6-Pro (4800 Mbit/s; 573 Mbit/s)";18253952; CHF 165.00 ;1;; CHF 165.00 ;AJ;;;;;
24.05.2024;;Action Cam;"X3 (30p; 5.7K; WLAN; Bluetooth)";21987319; CHF 371.44 ;1;; CHF 371.44 ;AJ;;;;;
24.05.2024;;Action Cam;"Action 2 Power Combo (120p; 4K; Bluetooth; WLAN)";16829033; CHF 226.79 ;1;; CHF 226.79 ;AJ;;;;;
;;Action Cam;"Hero12 inkl. 128 GB MicroSDXC-Karte (60p; 5.3K; Bluetooth; WLAN)";37627280; CHF 339.40 ;1;; CHF 339.40 ;AJ;;;;;
;;Action Cam;"HERO13 Black (inkl. 128 GB MicroSDX) (60p; Bluetooth; WLAN)";48046447; CHF 336.59 ;1;;;;;;;;
24.05.2024;;Auto Adapter;CC-A3 Car Charger Enduro;14334118; CHF 9.89 ;2;; CHF 19.78 ;AJ;;;;;
;;Auto Adapter;Dual USB Auto Schnellladegerät;24147588; CHF 5.06 ;1;; CHF 5.06 ;AJ;;;;;
;;Auto Adapter;Fast Charger (100W);24556947; CHF 26.50 ;2;; CHF 53.00 ;AJ;;;;;
24.05.2024;;Batterien;"Photo Lithium (10 Stk.; CR123A; 1430 mAh)";12459939; CHF 14.14 ;1;; CHF 14.14 ;AJ;;;;;
24.05.2024;;Batterien;CR2032 (4 Stk.);13686131; CHF 7.83 ;1;; CHF 7.83 ;AJ;;;;;
24.05.2024;;Batterien;"Longlife Power (40 Stk.; AA)";10679645; CHF 11.79 ;2;; CHF 23.58 ;AJ;;;;;
24.05.2024;;Batterien;"Lithium Power CR2032 (6 Stk.; CR2032; 210 mAh)";10265100; CHF 2.99 ;1;; CHF 2.99 ;AJ;;;;;
10.11.2024;;Batterien;"AAA Alkaline (24 Stk.; AAA; 1270 mAh)";36011519; CHF 2.15 ;2;; CHF 4.30 ;AJ;;;;;
10.11.2024;;Batterien;"CR2032 Lithium (8 Stk.; CR2032; 230 mAh)";36011518; CHF 0.65 ;2;; CHF 1.30 ;AJ;;;;;
10.11.2024;;Batterien;"AA Alkaline (24 Stk.; AA; 2960 mAh)";36013695; CHF 2.63 ;2;; CHF 5.26 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Beleuchtung Zubehör;Hue SmartPlug CH;13688812; CHF 31.49 ;2;; CHF 62.97 ;AJ;;;;;
24.05.2024;;Betriebsystem;"Windows 11 Pro (Deutsch; PKC)";16767661; CHF 112.73 ;2;Nur in Deutschschweiz; CHF 225.47 ;AJ;;;;;
24.05.2024;;Betriebsystem;"Windows 11 Home (Deutsch; PKC)";16767660; CHF 81.40 ;2;Nur in Deutschschweiz; CHF 162.80 ;AJ;;;;;
24.05.2024;;Betriebsystem;"Windows 11 Pro (Französisch; PKC)";16756805; CHF 115.79 ;1;Franz nur in LA und GE (16756805); CHF 115.79 ;AJ;;;;;
24.05.2024;;Betriebsystem;"Windows 11 Home (Französisch; PKC)";16756801; CHF 84.40 ;1;Franz nur in LA und GE (16756801); CHF 84.40 ;AJ;;;;;
;;Bluetooth Lautsprecher;"Wonderboom 4 (14 h; Akkubetrieb)";46792082; CHF 56.88 ;2;;;;;;;;
;;Bluetooth Lautsprecher;"Boom 4 (15 h; Akkubetrieb)";46792083; CHF 80.26 ;1;;;;;;;;
24.05.2024;Top Galaxus;Bürstenkopf;C3 Premium Defence (4 x);6603160; CHF 27.95 ;2;; CHF 55.90 ;AJ;;;;;
24.05.2024;Top Galaxus;Bürstenkopf;C3 Premium Defence (4 x);6603146; CHF 28.28 ;2;; CHF 56.56 ;AJ;;;;;
24.05.2024;Top Galaxus;Bürstenkopf;Optimal White;9699912; CHF 18.27 ;2;; CHF 36.54 ;AJ;;;;;
24.05.2024;Top Galaxus;Bürstenkopf;Optimal White (8 x);9699914; CHF 24.08 ;1;; CHF 24.08 ;AJ;;;;;
24.05.2024;;Bürstenkopf;Oral-B iO Ultimative Reinigung (8x);21402091; CHF 33.56 ;1;; CHF 33.56 ;AJ;;;;;
24.05.2024;;Bürstenkopf;Oral-B Pulsonic Clean (4x);13579913; CHF 9.65 ;2;; CHF 19.30 ;AJ;;;;;
24.05.2024;;Bürstenkopf;Oral-B iO Ultimative Reinigung (4x);14340498; CHF 21.44 ;1;; CHF 21.44 ;AJ;;;;;
